standard_scene	dataset_label	dataset
indoor	bus_interior	AudibleBackgrounds
indoor	airplane_interior	AudibleBackgrounds
indoor	office	AudibleBackgrounds
indoor	airport	AudibleBackgrounds
indoor	metro_interior	AudibleBackgrounds
indoor	shopping_center	AudibleBackgrounds
indoor	bathroom	AudibleBackgrounds
indoor	kitchen	AudibleBackgrounds
indoor	car_interior	AudibleBackgrounds
indoor	library	AudibleBackgrounds
indoor	metro_station	AudibleBackgrounds
indoor	supermarket	AudibleBackgrounds
indoor	sports_stadium	AudibleBackgrounds
indoor	office	JointSoundSceneAndEvent
indoor	tube	JointSoundSceneAndEvent
indoor	bus	JointSoundSceneAndEvent
indoor	supermarket	JointSoundSceneAndEvent
indoor	tubestation	JointSoundSceneAndEvent
indoor	restaurant	JointSoundSceneAndEvent
indoor	hallgare	LitisRouen
indoor	metro-rouen	LitisRouen
indoor	car	LitisRouen
indoor	shop	LitisRouen
indoor	bus	LitisRouen
indoor	train-ter	LitisRouen
indoor	poolhall	LitisRouen
indoor	train-tgv	LitisRouen
indoor	kidgame	LitisRouen
indoor	metro-paris	LitisRouen
indoor	restaurant	LitisRouen
indoor	tubestation	LitisRouen
indoor	cafe	LitisRouen
indoor	hall	LitisRouen
indoor	avion	LitisRouen
indoor	church	Arte
indoor	office	OpenWindow
		
		
		
church	church	Arte
		
station_hall	hallgare	LitisRouen
		
elevator	Elevator	CochlScene
		
		
transportation	metro_station	TauUas2020MobileDevelopment
transportation	metro_station	TauUas2019OpensetDevelopment
transportation	metro_station	TutAcousticScenes2017
transportation	airport	Dcase2018
transportation	airport	TauUas2019OpensetDevelopment
transportation	airport	TauUas2020MobileDevelopment
transportation	metro_station	Dcase2018
transportation	metro_station	TUTAcousticScenes2017Development
transportation	tubestation	IEEAASPPublic
transportation	SubwayStation	CochlScene
transportation	Airport	Cas2023
transportation	train_station	Arte
transportation	airport	AudibleBackgrounds
transportation	metro_station	AudibleBackgrounds
transportation	tubestation	JointSoundSceneAndEvent
transportation	hallgare	LitisRouen
transportation	tubestation	LitisRouen
		
commercial	Restaurant	Cas2023
commercial	cafe/restaurant	TUTAcousticScenes2017Development
commercial	cafe/restaurant	TutAcousticScenes2017
commercial	grocery_store	TutAcousticScenes2017
commercial	shopping_mall	Dcase2018
commercial	shopping_mall	TauUas2020MobileDevelopment
commercial	shopping_mall	TauUas2019OpensetDevelopment
commercial	grocery_store	TUTAcousticScenes2017Development
commercial	restaurant	IEEAASPPublic
commercial	supermarket	IEEAASPPublic
commercial	Restaurant	CochlScene
commercial	Restroom	CochlScene
commercial	Cafe	CochlScene
commercial	Shopping mall	Cas2023
commercial	cafe	Arte
commercial	food_court	Arte
commercial	cafe_restaurant	AudibleBackgrounds
commercial	shopping_center	AudibleBackgrounds
commercial	supermarket	AudibleBackgrounds
commercial	supermarket	JointSoundSceneAndEvent
commercial	restaurant	JointSoundSceneAndEvent
commercial	shop	LitisRouen
commercial	restaurant	LitisRouen
commercial	cafe	LitisRouen
		
shop	shop	LitisRouen
		
recreational	poolhall	LitisRouen
recreational	kidgame	LitisRouen
		
billiard_pool_hall	poolhall	LitisRouen
		
kid_game_hall	kidgame	LitisRouen
		
		
supermarket	supermarket	IEEAASPPublic
supermarket	supermarket	AudibleBackgrounds
supermarket	supermarket	JointSoundSceneAndEvent
		
work_place	office	OpenWindow
work_place	library	AudibleBackgrounds
work_place	library	Arte
work_place	library	TUTAcousticScenes2017Development
work_place	library	TutAcousticScenes2017
work_place	office	TutAcousticScenes2017
work_place	office	TUTAcousticScenes2017Development
work_place	office	IEEAASPPublic
work_place	office	Arte
work_place	office	AudibleBackgrounds
work_place	office	JointSoundSceneAndEvent
work_place	hall	LitisRouen
		
student_hall	hall	LitisRouen
		
train_station	train_station	Arte
		
metro_station	metro_station	TauUas2020MobileDevelopment
metro_station	metro_station	TauUas2019OpensetDevelopment
metro_station	metro_station	TutAcousticScenes2017
metro_station	metro_station	Dcase2018
metro_station	metro_station	TUTAcousticScenes2017Development
metro_station	tubestation	IEEAASPPublic
metro_station	SubwayStation	CochlScene
metro_station	train_interior	AudibleBackgrounds
metro_station	metro_station	AudibleBackgrounds
metro_station	tubestation	JointSoundSceneAndEvent
metro_station	tubestation	LitisRouen
		
airport	Airport	Cas2023
airport	airport	TauUas2019OpensetDevelopment
airport	airport	TauUas2020MobileDevelopment
airport	airport	Dcase2018
airport	airport	AudibleBackgrounds
		
		
office	office	TUTAcousticScenes2017Development
office	office	TutAcousticScenes2017
office	office	IEEAASPPublic
office	office	Arte
office	office	AudibleBackgrounds
office	office	JointSoundSceneAndEvent
office	office	OpenWindow
		
		
library	library	AudibleBackgrounds
library	library	TutAcousticScenes2017
library	library	TUTAcousticScenes2017Development
library	library	Arte
		
home	home	TutAcousticScenes2017
home	home	TUTAcousticScenes2017Development
home	Kitchen	CochlScene
home	living_room	Arte
home	street_balcony	Arte
home	dinner_party	Arte
home	bathroom	AudibleBackgrounds
home	kitchen	AudibleBackgrounds
		
bathroom	bathroom	AudibleBackgrounds
		
street_balcony	street_balcony	Arte
		
living_room	living_room	Arte
		
kitchen	Kitchen	CochlScene
kitchen	kitchen	AudibleBackgrounds
		
grocery_store	grocery_store	TUTAcousticScenes2017Development
grocery_store	grocery_store	TutAcousticScenes2017
		
shopping_mall	shopping_mall	Dcase2018
shopping_mall	shopping_mall	TauUas2020MobileDevelopment
shopping_mall	shopping_mall	TauUas2019OpensetDevelopment
shopping_mall	Shopping mall	Cas2023
shopping_mall	shopping_center	AudibleBackgrounds
		
cafe_or_restaurant	restaurant	LitisRouen
cafe_or_restaurant	Restaurant	Cas2023
cafe_or_restaurant	cafe/restaurant	TutAcousticScenes2017
cafe_or_restaurant	cafe/restaurant	TUTAcousticScenes2017Development
cafe_or_restaurant	restaurant	IEEAASPPublic
cafe_or_restaurant	Restaurant	CochlScene
cafe_or_restaurant	Restroom	CochlScene
cafe_or_restaurant	Cafe	CochlScene
cafe_or_restaurant	cafe	Arte
cafe_or_restaurant	food_court	Arte
cafe_or_restaurant	cafe_restaurant	AudibleBackgrounds
cafe_or_restaurant	restaurant	JointSoundSceneAndEvent
cafe_or_restaurant	cafe	LitisRouen
		
restroom	Restroom	CochlScene
		
vehicle_interior	car	TUTAcousticScenes2017Development
vehicle_interior	bus	TUTAcousticScenes2017Development
vehicle_interior	bus	TauUas2019OpensetDevelopment
vehicle_interior	bus	TauUas2020MobileDevelopment
vehicle_interior	bus	TutAcousticScenes2017
vehicle_interior	car	TutAcousticScenes2017
vehicle_interior	train	TutAcousticScenes2017
vehicle_interior	tram	TutAcousticScenes2017
vehicle_interior	bus	Dcase2018
vehicle_interior	metro	Dcase2018
vehicle_interior	tram	Dcase2018
vehicle_interior	metro	TauUas2020MobileDevelopment
vehicle_interior	metro	TauUas2019OpensetDevelopment
vehicle_interior	tram	TauUas2020MobileDevelopment
vehicle_interior	tram	TauUas2019OpensetDevelopment
vehicle_interior	train	TUTAcousticScenes2017Development
vehicle_interior	tram	TUTAcousticScenes2017Development
vehicle_interior	bus	TUTAcousticScenes2017Development
vehicle_interior	tube	IEEAASPPublic
vehicle_interior	Subway	CochlScene
vehicle_interior	Car	CochlScene
vehicle_interior	Bus	CochlScene
vehicle_interior	Metro	Cas2023
vehicle_interior	Bus	Cas2023
vehicle_interior	Truck	VehicleInteriorSound
vehicle_interior	Bus	VehicleInteriorSound
vehicle_interior	Sports car	VehicleInteriorSound
vehicle_interior	Crossover	VehicleInteriorSound
vehicle_interior	Car (C Class - 4K)	VehicleInteriorSound
vehicle_interior	Pickup	VehicleInteriorSound
vehicle_interior	Jeep	VehicleInteriorSound
vehicle_interior	Minibus	VehicleInteriorSound
vehicle_interior	train_interior	AudibleBackgrounds
vehicle_interior	bus_interior	AudibleBackgrounds
vehicle_interior	airplane_interior	AudibleBackgrounds
vehicle_interior	metro_interior	AudibleBackgrounds
vehicle_interior	car_interior	AudibleBackgrounds
vehicle_interior	tube	JointSoundSceneAndEvent
vehicle_interior	bus	JointSoundSceneAndEvent
vehicle_interior	metro-rouen	LitisRouen
vehicle_interior	car	LitisRouen
vehicle_interior	bus	LitisRouen
vehicle_interior	train-ter	LitisRouen
vehicle_interior	train-tgv	LitisRouen
vehicle_interior	metro-paris	LitisRouen
vehicle_interior	avion	LitisRouen
		
airplane_interior	airplane_interior	AudibleBackgrounds
airplane_interior	avion	LitisRouen
		
bus_interior	Bus	Cas2023
bus_interior	bus	TUTAcousticScenes2017Development
bus_interior	bus	TUTAcousticScenes2017Development
bus_interior	bus	TauUas2019OpensetDevelopment
bus_interior	bus	TauUas2020MobileDevelopment
bus_interior	bus	TutAcousticScenes2017
bus_interior	bus	Dcase2018
bus_interior	Bus	CochlScene
bus_interior	Bus	VehicleInteriorSound
bus_interior	Minibus	VehicleInteriorSound
bus_interior	bus_interior	AudibleBackgrounds
bus_interior	bus	JointSoundSceneAndEvent
bus_interior	bus	LitisRouen
		
		
		
		
train_interior	train	TUTAcousticScenes2017Development
train_interior	train	TutAcousticScenes2017
train_interior	tram	TutAcousticScenes2017
train_interior	metro	Dcase2018
train_interior	tram	Dcase2018
train_interior	metro	TauUas2020MobileDevelopment
train_interior	metro	TauUas2019OpensetDevelopment
train_interior	tram	TauUas2020MobileDevelopment
train_interior	tram	TauUas2019OpensetDevelopment
train_interior	tram	TUTAcousticScenes2017Development
train_interior	tube	IEEAASPPublic
train_interior	Subway	CochlScene
train_interior	Metro	Cas2023
train_interior	train_interior	AudibleBackgrounds
train_interior	metro_interior	AudibleBackgrounds
train_interior	tube	JointSoundSceneAndEvent
train_interior	metro-rouen	LitisRouen
train_interior	train-ter	LitisRouen
train_interior	train-tgv	LitisRouen
train_interior	metro-paris	LitisRouen
		
car_interior	Car	CochlScene
car_interior	car	TutAcousticScenes2017
car_interior	car	TUTAcousticScenes2017Development
car_interior	Sports car	VehicleInteriorSound
car_interior	Crossover	VehicleInteriorSound
car_interior	Car (C Class - 4K)	VehicleInteriorSound
car_interior	Pickup	VehicleInteriorSound
car_interior	Jeep	VehicleInteriorSound
car_interior	car_interior	AudibleBackgrounds
car_interior	car	LitisRouen
		
truck_interior	Truck	VehicleInteriorSound
		
unknown	unknown	TauUas2019OpensetDevelopment
unknown		Archeo
		
		
bar_nightclub_or_concert_hall	Bar	Cas2023
		
sports_stadium	sports_stadium	AudibleBackgrounds
		
synthetic_stationary	synthetic_stationary	SyntheticStationaryBackground
